client_id,trainer_id,gender_score,style_score,availability_score,age_score,qualification_score,education_score,location_score,recency_score,experience_score,persona_score,goal_score,baseline_score_default_weights,match_outcome
CLT-1002,TRN-2017,1.0,0.3536,0.6963,1.0,1.0,1.0,0.0591,0.2,1.0,0.3377,0.3158,0.5978,0
CLT-1002,TRN-2018,1.0,0.2316,0.6232,0.5,0.61,1.0,0.0591,1.0,1.0,0.2384,0.1736,0.5437,0
CLT-1002,TRN-2019,0.0,0.5814,0.1214,0.5,0.61,1.0,0.1056,0.5,0.7,0.3771,0.2362,0.4062,0
CLT-1002,TRN-2020,1.0,0.3367,0.6705,1.0,0.87,1.0,0.1226,0.4113,1.0,0.3342,0.2806,0.599,0
CLT-1002,TRN-2021,1.0,0.2885,0.9481,0.5,0.74,1.0,0.117,0.2,0.6,0.2792,0.3126,0.5134,0
CLT-1002,TRN-2022,1.0,0.268,0.7335,1.0,0.87,1.0,0.1394,0.4113,0.1,0.2824,0.1972,0.5021,0
CLT-1002,TRN-2023,0.0,0.47,0.1029,1.0,0.74,1.0,0.0591,0.5,0.8,0.3249,0.2777,0.4463,0
CLT-1002,TRN-2024,1.0,0.3314,0.8346,0.5,0.61,1.0,0.0888,0.683,1.0,0.2498,0.2518,0.5614,0
CLT-1002,TRN-2025,1.0,0.225,0.2161,1.0,0.87,1.0,0.0774,0.5,0.3,0.1534,0.3865,0.4877,0
CLT-1003,TRN-2001,0.3,0.4036,0.1569,1.0,0.61,1.0,0.1652,0.5,0.6,0.2001,0.3753,0.452,0
CLT-1003,TRN-2002,0.3,0.2561,0.691,0.5,0.87,1.0,0.1188,0.9245,0.9,0.3438,0.2221,0.5211,0
CLT-1003,TRN-2003,0.3,0.3458,0.6386,1.0,0.87,0.7,0.1545,0.8642,1.0,0.3472,0.3578,0.5759,1
CLT-1003,TRN-2004,0.3,0.3344,0.9019,1.0,0.61,1.0,1.0,0.9396,0.7,0.2967,0.2004,0.6146,1
CLT-1003,TRN-2005,0.3,0.197,0.7243,0.5,0.61,1.0,0.1652,1.0,0.4,0.3838,0.1763,0.4509,0
CLT-1003,TRN-2006,0.3,0.3399,0.8445,1.0,0.61,1.0,0.1543,0.8189,1.0,0.3923,0.4135,0.5852,0
CLT-1003,TRN-2007,1.0,0.2174,0.6984,1.0,0.74,1.0,0.1248,0.2,1.0,0.2885,0.2589,0.5471,0
CLT-1003,TRN-2008,0.3,0.3032,0.8299,1.0,0.74,1.0,0.108,0.4264,1.0,0.3298,0.1926,0.5203,0
CLT-1003,TRN-2009,1.0,0.1764,0.1667,0.5,0.61,1.0,0.1502,0.5,1.0,0.2703,0.3445,0.4839,0
CLT-1003,TRN-2010,0.3,0.3113,0.8118,0.5,0.61,1.0,0.1402,0.2,1.0,0.3257,0.5885,0.5055,0
CLT-1003,TRN-2011,1.0,0.2963,0.239,1.0,1.0,1.0,0.1543,0.5,0.5,0.2799,0.3123,0.5359,0
CLT-1003,TRN-2012,1.0,0.2447,0.7376,1.0,0.74,1.0,0.1958,0.8189,0.2,0.3574,0.3332,0.5587,0
CLT-1003,TRN-2013,1.0,0.2719,0.2648,0.5,0.74,1.0,0.1958,0.5,0.5,0.3629,0.3374,0.4836,0
CLT-1003,TRN-2014,1.0,0.2487,0.365,1.0,0.87,1.0,0.1958,0.5,1.0,0.2416,0.2845,0.5691,0
CLT-1003,TRN-2015,0.3,0.3352,0.3238,1.0,0.61,1.0,0.108,0.5,0.1,0.2677,0.3839,0.4134,0
CLT-1003,TRN-2016,1.0,0.2239,0.8019,0.5,1.0,0.7,0.1502,0.4566,1.0,0.2948,0.3594,0.575,1
CLT-1003,TRN-2017,0.3,0.4123,0.5634,1.0,1.0,1.0,0.1652,0.2,1.0,0.2583,0.2325,0.5247,0
CLT-1003,TRN-2018,0.3,0.2595,0.6196,0.5,0.61,1.0,0.1652,1.0,1.0,0.1934,0.2437,0.5006,0
CLT-1003,TRN-2019,1.0,0.4695,0.2054,0.5,0.61,1.0,1.0,0.5,0.7,0.2675,0.2394,0.5614,0
CLT-1003,TRN-2020,0.3,0.3556,0.9035,1.0,0.87,1.0,0.1814,0.4113,1.0,0.3192,0.272,0.563,0
CLT-1003,TRN-2021,0.3,0.309,0.8158,0.5,0.74,1.0,0.1402,0.2,0.6,0.1966,0.4267,0.454,0
CLT-1003,TRN-2022,0.3,0.3504,0.9076,1.0,0.87,1.0,0.1502,0.4113,0.1,0.238,0.3522,0.4851,0
CLT-1003,TRN-2023,1.0,0.2732,0.3533,1.0,0.74,1.0,0.1652,0.5,0.8,0.3249,0.2956,0.5435,1
CLT-1003,TRN-2024,0.3,0.3954,0.8102,0.5,0.61,1.0,0.1958,0.683,1.0,0.2745,0.2766,0.5197,0
CLT-1003,TRN-2025,0.3,0.3196,0.2517,1.0,0.87,1.0,0.1077,0.5,0.3,0.2321,0.397,0.4501,0
CLT-1004,TRN-2001,0.5,0.3509,0.6605,1.0,0.61,1.0,0.0764,0.5,0.6,0.2847,0.3367,0.5,0
CLT-1004,TRN-2002,0.5,0.323,0.9428,0.5,0.87,1.0,0.1815,0.9245,0.9,0.2474,0.2967,0.58,1
CLT-1004,TRN-2003,0.5,0.2545,0.9237,1.0,0.87,1.0,0.1569,0.8642,1.0,0.3188,0.6272,0.6549,1
CLT-1004,TRN-2004,0.5,0.3485,0.586,0.5,0.61,1.0,0.1085,0.9396,0.7,0.3147,0.2671,0.5009,0
CLT-1004,TRN-2005,0.5,0.2766,0.8585,1.0,0.61,1.0,0.0764,1.0,0.4,0.2269,0.2843,0.5238,0
CLT-1004,TRN-2006,0.5,0.4233,0.9279,0.5,0.61,1.0,0.1573,0.8189,1.0,0.2505,0.3106,0.5636,0
CLT-1004,TRN-2007,0.5,0.3408,0.8973,0.5,0.74,1.0,0.0906,0.2,1.0,0.3702,0.354,0.5158,0
CLT-1004,TRN-2008,0.5,0.4318,0.76,0.5,0.74,1.0,0.1663,0.4264,1.0,0.2617,0.2951,0.5281,0
CLT-1004,TRN-2009,0.5,0.8114,0.5591,1.0,0.61,1.0,1.0,0.5,1.0,0.7859,1.0,0.7909,1
CLT-1004,TRN-2010,0.5,0.2572,0.5865,1.0,0.61,1.0,0.1309,0.2,1.0,0.2365,0.3697,0.496,0
CLT-1004,TRN-2011,0.5,0.3325,0.8442,0.5,1.0,1.0,0.1573,0.5,0.5,0.2583,0.5075,0.5395,0
CLT-1004,TRN-2012,0.5,0.1737,0.8167,1.0,0.74,1.0,0.1171,0.8189,0.2,0.2258,0.3137,0.4937,0
CLT-1004,TRN-2013,0.5,0.3579,0.5692,0.5,0.74,1.0,0.1171,0.5,0.5,0.1913,0.2492,0.4481,0
CLT-1004,TRN-2014,0.5,0.3617,0.9368,1.0,0.87,1.0,0.1171,0.5,1.0,0.2981,0.2599,0.5838,1
CLT-1004,TRN-2015,0.5,0.3287,0.7115,0.5,0.61,1.0,0.1663,0.5,0.1,0.2149,0.3125,0.4216,0
CLT-1004,TRN-2016,0.5,0.3513,0.8287,1.0,1.0,1.0,1.0,0.4566,1.0,0.2363,0.1854,0.6478,0
CLT-1004,TRN-2017,0.5,0.3669,0.8318,1.0,1.0,1.0,0.0764,0.2,1.0,0.2689,0.2975,0.5619,1
CLT-1004,TRN-2018,0.5,0.2858,0.8652,1.0,0.61,1.0,0.0764,1.0,1.0,0.4012,0.2806,0.5896,1
CLT-1004,TRN-2019,0.5,0.2493,0.7727,1.0,0.61,1.0,0.1085,0.5,0.7,0.2666,0.28,0.4994,0
CLT-1004,TRN-2020,0.5,0.1855,0.8478,0.5,0.87,1.0,0.0724,0.4113,1.0,0.293,0.5721,0.5462,0
CLT-1004,TRN-2021,0.5,0.241,0.9495,0.5,0.74,1.0,0.1309,0.2,0.6,0.2898,0.6724,0.5126,0
CLT-1004,TRN-2022,0.5,0.2751,0.7872,1.0,0.87,1.0,1.0,0.4113,0.1,0.3432,0.2654,0.553,0
CLT-1004,TRN-2023,0.5,0.1965,0.7328,1.0,0.74,1.0,0.0764,0.5,0.8,0.2568,0.5043,0.5382,0
CLT-1004,TRN-2024,0.5,0.3018,0.7569,1.0,0.61,1.0,0.1171,0.683,1.0,0.3542,0.2835,0.5549,0
CLT-1004,TRN-2025,0.5,0.5323,0.7204,1.0,0.87,1.0,0.1333,0.5,0.3,0.3722,0.3254,0.5397,0
CLT-1005,TRN-2001,1.0,0.3333,0.5836,0.5,0.61,0.3,0.1199,0.5,0.6,0.3735,0.3064,0.4738,0
CLT-1005,TRN-2002,1.0,0.2898,0.7884,1.0,0.87,0.3,0.1111,0.9245,0.9,0.2714,0.3537,0.6137,0
CLT-1005,TRN-2003,1.0,0.3799,0.854,0.5,0.87,0.3,0.1282,0.8642,1.0,0.2432,0.3603,0.6001,0
CLT-1005,TRN-2004,1.0,0.1682,0.6372,1.0,0.61,0.3,0.063,0.9396,0.7,0.2686,0.2845,0.5258,0
CLT-1005,TRN-2005,1.0,0.7636,0.7137,1.0,0.61,0.3,0.1199,1.0,0.4,0.2977,0.2777,0.597,0
CLT-1005,TRN-2006,1.0,0.8526,0.7777,0.5,0.61,0.3,0.1404,0.8189,1.0,0.813,0.7888,0.7188,1
CLT-1005,TRN-2007,0.0,0.2632,0.642,1.0,0.74,0.3,0.0948,0.2,1.0,0.3799,0.3619,0.4445,0
CLT-1005,TRN-2008,1.0,0.2935,0.7263,0.5,0.74,0.3,0.1377,0.4264,1.0,0.355,0.2529,0.5175,0
CLT-1005,TRN-2009,0.0,0.3616,0.727,1.0,0.61,0.3,0.0653,0.5,1.0,0.2501,0.392,0.4714,0
CLT-1005,TRN-2010,1.0,0.3478,0.9337,1.0,0.61,0.3,0.126,0.2,1.0,0.2463,0.4222,0.5597,0
CLT-1005,TRN-2011,0.0,0.521,0.7596,1.0,1.0,0.3,0.1404,0.5,0.5,0.2365,0.2682,0.4821,0
CLT-1005,TRN-2012,0.0,0.2928,0.5571,0.5,0.74,0.3,0.0829,0.8189,0.2,0.3896,0.4671,0.4026,0
CLT-1005,TRN-2013,0.0,0.1457,0.6301,0.5,0.74,0.3,0.0829,0.5,0.5,0.2031,0.3763,0.3639,0
CLT-1005,TRN-2014,0.0,0.6583,0.7822,1.0,0.87,0.3,0.0829,0.5,1.0,0.3639,0.4108,0.5551,0
CLT-1005,TRN-2015,1.0,0.2333,0.7312,1.0,0.61,0.3,0.1377,0.5,0.1,0.3365,0.3031,0.4635,0
CLT-1005,TRN-2016,0.0,0.3497,0.6313,1.0,1.0,0.3,0.0653,0.4566,1.0,0.2632,0.8154,0.5567,0
CLT-1005,TRN-2017,1.0,0.3492,0.849,0.5,1.0,0.3,0.1199,0.2,1.0,0.3041,0.4083,0.5596,0
CLT-1005,TRN-2018,1.0,0.7079,0.7603,1.0,0.61,0.3,0.1199,1.0,1.0,0.7033,0.8941,0.7551,1
CLT-1005,TRN-2019,0.0,0.3215,0.7824,0.5,0.61,0.3,0.063,0.5,0.7,0.3599,0.3299,0.4068,0
CLT-1005,TRN-2020,1.0,0.293,0.8012,1.0,0.87,0.3,0.1306,0.4113,1.0,0.3632,0.3504,0.5854,1
CLT-1005,TRN-2021,1.0,0.3663,0.6108,0.5,0.74,0.3,0.126,0.2,0.6,0.2076,0.2409,0.4492,0
CLT-1005,TRN-2022,1.0,0.2187,0.7676,0.5,0.87,0.3,0.0653,0.4113,0.1,0.3024,0.2478,0.433,0
CLT-1005,TRN-2023,0.0,0.3789,0.7336,0.5,0.74,0.3,0.1199,0.5,0.8,0.2996,0.244,0.4228,0
CLT-1005,TRN-2024,1.0,0.8946,0.7077,1.0,0.61,0.3,0.0829,0.683,1.0,0.6566,1.0,0.7551,1
CLT-1005,TRN-2025,1.0,0.4613,0.8656,0.5,0.87,0.3,0.077,0.5,0.3,0.2753,0.5771,0.5435,0
CLT-1006,TRN-2001,1.0,0.1797,0.9391,0.5,0.61,1.0,0.5,0.5,0.6,0.2547,0.4917,0.5675,0
CLT-1006,TRN-2002,1.0,0.7731,0.7312,0.5,0.87,0.7,0.5,0.9245,0.9,0.7233,0.9425,0.7973,1
CLT-1006,TRN-2003,1.0,0.2685,0.1188,0.5,0.87,0.3,0.5,0.8642,1.0,0.2732,0.5925,0.5857,0
CLT-1006,TRN-2004,1.0,0.2453,0.1374,1.0,0.61,0.3,0.5,0.9396,0.7,0.3264,0.3058,0.537,0
CLT-1006,TRN-2005,1.0,0.3072,0.5892,1.0,0.61,1.0,0.5,1.0,0.4,0.3529,0.5127,0.6248,0
CLT-1006,TRN-2006,1.0,0.2704,0.3467,1.0,0.61,0.3,0.5,0.8189,1.0,0.3819,0.2607,0.5725,0
CLT-1006,TRN-2007,0.0,0.3807,0.3511,1.0,0.74,0.3,0.5,0.2,1.0,0.3033,0.657,0.5052,0
CLT-1006,TRN-2008,1.0,0.5051,0.1174,1.0,0.74,1.0,0.5,0.4264,1.0,0.2913,0.4187,0.6091,0
CLT-1006,TRN-2009,0.0,0.5633,0.8889,1.0,0.61,0.3,0.5,0.5,1.0,0.3082,0.2767,0.5399,0
CLT-1006,TRN-2010,1.0,0.3133,0.3947,1.0,0.61,1.0,0.5,0.2,1.0,0.3182,0.2328,0.5508,0
CLT-1006,TRN-2011,0.0,0.4316,0.7835,1.0,1.0,1.0,0.5,0.5,0.5,0.3375,0.3679,0.5553,0
CLT-1006,TRN-2012,0.0,0.1699,0.6006,1.0,0.74,1.0,0.5,0.8189,0.2,0.3629,0.3231,0.4733,0
CLT-1006,TRN-2013,0.0,0.34,0.705,1.0,0.74,0.7,0.5,0.5,0.5,0.4229,0.2787,0.4881,0
CLT-1006,TRN-2014,0.0,0.2367,0.6961,1.0,0.87,1.0,0.5,0.5,1.0,0.2242,0.1924,0.5215,0
CLT-1006,TRN-2015,1.0,0.3501,0.686,1.0,0.61,1.0,0.5,0.5,0.1,0.4126,0.3402,0.5484,1
CLT-1006,TRN-2016,0.0,0.3106,0.2892,0.5,1.0,0.3,0.5,0.4566,1.0,0.2326,0.2028,0.4401,0
CLT-1006,TRN-2017,1.0,0.2103,0.7945,1.0,1.0,0.7,0.5,0.2,1.0,0.2763,0.4619,0.6291,1
CLT-1006,TRN-2018,1.0,0.3601,0.3063,0.5,0.61,1.0,0.5,1.0,1.0,0.2103,0.3403,0.5925,0
CLT-1006,TRN-2019,0.0,0.3603,0.7592,0.5,0.61,1.0,0.5,0.5,0.7,0.3261,0.4599,0.4955,0
CLT-1006,TRN-2020,1.0,0.3785,0.3415,1.0,0.87,0.7,0.5,0.4113,1.0,0.1724,0.3806,0.5988,0
CLT-1006,TRN-2021,1.0,0.2487,0.3862,0.5,0.74,0.7,0.5,0.2,0.6,0.3049,0.3062,0.4795,0
CLT-1006,TRN-2022,1.0,0.3142,0.8268,1.0,0.87,1.0,0.5,0.4113,0.1,0.3382,0.364,0.5747,0
CLT-1006,TRN-2023,0.0,0.2544,0.6752,0.5,0.74,0.7,0.5,0.5,0.8,0.1988,0.3242,0.4572,0
CLT-1006,TRN-2024,1.0,0.3698,0.327,0.5,0.61,0.3,0.5,0.683,1.0,0.3845,0.379,0.5522,0
CLT-1006,TRN-2025,1.0,0.3533,0.913,1.0,0.87,0.7,0.5,0.5,0.3,0.3917,0.1923,0.5803,0
CLT-1007,TRN-2001,0.3,0.1735,0.6414,0.5,0.61,1.0,0.4302,0.5,0.6,0.3289,0.4783,0.4742,0
CLT-1007,TRN-2002,0.3,0.3644,0.7106,0.5,0.87,1.0,0.651,0.9245,0.9,0.2124,0.3097,0.5884,0
CLT-1007,TRN-2003,0.3,0.2907,0.8569,0.5,0.87,1.0,1.0,0.8642,1.0,0.3825,0.2669,0.6312,0
CLT-1007,TRN-2004,0.3,0.3631,0.6298,1.0,0.61,1.0,0.6838,0.9396,0.7,0.1919,0.3471,0.579,0
CLT-1007,TRN-2005,0.3,0.3351,0.5914,1.0,0.61,1.0,0.4302,1.0,0.4,0.3422,0.3567,0.5385,0
CLT-1007,TRN-2006,0.3,0.2926,0.7764,1.0,0.61,1.0,0.5688,0.8189,1.0,0.3117,0.3996,0.6029,1
CLT-1007,TRN-2007,1.0,0.254,0.867,1.0,0.74,1.0,0.6364,0.2,1.0,0.3051,0.3317,0.6235,0
CLT-1007,TRN-2008,0.3,0.3025,0.9071,1.0,0.74,1.0,0.4598,0.4264,1.0,0.2547,0.3344,0.5728,0
CLT-1007,TRN-2009,1.0,0.2046,0.825,1.0,0.61,1.0,0.6558,0.5,1.0,0.2637,0.266,0.6164,0
CLT-1007,TRN-2010,0.3,0.3182,0.5543,1.0,0.61,1.0,0.4888,0.2,1.0,0.314,0.277,0.5078,1
CLT-1007,TRN-2011,1.0,0.446,0.9357,1.0,1.0,1.0,0.5688,0.5,0.5,0.3115,0.2273,0.6458,1
CLT-1007,TRN-2012,1.0,0.2903,0.6556,1.0,0.74,1.0,0.2722,0.8189,0.2,0.3084,0.2026,0.5437,0
CLT-1007,TRN-2013,1.0,0.3066,0.5898,1.0,0.74,1.0,0.2722,0.5,0.5,0.3421,0.3577,0.5612,0
CLT-1007,TRN-2014,1.0,0.2895,0.7426,1.0,0.87,1.0,0.2722,0.5,1.0,0.323,0.2526,0.6159,1
CLT-1007,TRN-2015,0.3,0.3161,0.9266,1.0,0.61,1.0,0.4598,0.5,0.1,0.3014,0.3116,0.4885,0
CLT-1007,TRN-2016,1.0,0.4272,0.6479,0.5,1.0,1.0,0.6558,0.4566,1.0,0.3259,0.2738,0.6375,1
CLT-1007,TRN-2017,0.3,0.2995,0.9215,1.0,1.0,1.0,0.4302,0.2,1.0,0.3196,0.3756,0.5882,1
CLT-1007,TRN-2018,0.3,0.9848,0.793,0.5,0.61,1.0,0.4302,1.0,1.0,0.7583,1.0,0.7735,1
CLT-1007,TRN-2019,1.0,0.2921,0.8682,0.5,0.61,1.0,0.6838,0.5,0.7,0.3136,0.3352,0.5843,0
CLT-1007,TRN-2020,0.3,0.3309,0.8696,1.0,0.87,1.0,0.6189,0.4113,1.0,0.1904,0.3004,0.5914,1
CLT-1007,TRN-2021,0.3,0.366,0.8206,0.5,0.74,1.0,0.4888,0.2,0.6,0.2423,0.4069,0.4934,0
CLT-1007,TRN-2022,0.3,0.2842,0.6112,1.0,0.87,1.0,0.6558,0.4113,0.1,0.1937,0.2772,0.4821,0
CLT-1007,TRN-2023,1.0,0.3335,0.8502,0.5,0.74,1.0,0.4302,0.5,0.8,0.1631,0.3812,0.5852,0
CLT-1007,TRN-2024,0.3,0.3688,0.9139,0.5,0.61,1.0,0.2722,0.683,1.0,0.2713,0.3464,0.5414,1
CLT-1007,TRN-2025,0.3,0.3522,0.6026,1.0,0.87,1.0,0.747,0.5,0.3,0.2069,0.3487,0.5348,0
CLT-1008,TRN-2001,0.5,0.2709,0.5576,1.0,0.61,0.7,0.5,0.5,0.6,0.428,0.473,0.5317,0
CLT-1008,TRN-2002,0.5,0.3525,0.795,1.0,0.87,0.3,0.5,0.9245,0.9,0.3736,0.3015,0.6121,1
CLT-1008,TRN-2003,0.5,0.3705,0.3926,1.0,0.87,0.3,0.5,0.8642,1.0,0.3276,0.3235,0.5822,0
CLT-1008,TRN-2004,0.5,0.1702,0.2517,1.0,0.61,0.3,0.5,0.9396,0.7,0.3655,0.2553,0.4882,0
CLT-1008,TRN-2005,0.5,0.215,0.87,0.5,0.61,0.7,0.5,1.0,0.4,0.2862,0.4038,0.525,0
CLT-1008,TRN-2006,0.5,0.3889,0.125,1.0,0.61,0.3,0.5,0.8189,1.0,0.3251,0.4326,0.5434,0
CLT-1008,TRN-2007,0.5,0.4653,0.1396,1.0,0.74,0.3,0.5,0.2,1.0,0.336,0.6755,0.5468,1
CLT-1008,TRN-2008,0.5,0.3002,0.1087,1.0,0.74,0.7,0.5,0.4264,1.0,0.2444,0.2909,0.5028,0
CLT-1008,TRN-2009,0.5,0.312,0.7531,1.0,0.61,0.3,0.5,0.5,1.0,0.221,0.2812,0.5339,0
CLT-1008,TRN-2010,0.5,0.3127,0.1638,0.5,0.61,0.7,0.5,0.2,1.0,0.2392,0.3354,0.4451,0
CLT-1008,TRN-2011,0.5,0.3784,0.7828,0.5,1.0,0.7,0.5,0.5,0.5,0.2916,0.2931,0.5307,0
CLT-1008,TRN-2012,0.5,0.3324,0.8476,1.0,0.74,0.7,0.5,0.8189,0.2,0.2565,0.422,0.555,0
CLT-1008,TRN-2013,0.5,0.615,0.5649,0.5,0.74,0.3,0.5,0.5,0.5,0.3928,0.3959,0.5173,0
CLT-1008,TRN-2014,0.5,0.3222,0.59,1.0,0.87,0.7,0.5,0.5,1.0,0.3064,0.3393,0.5795,0
CLT-1008,TRN-2015,0.5,0.1648,0.7967,1.0,0.61,0.7,0.5,0.5,0.1,0.2923,0.2217,0.4521,0
CLT-1008,TRN-2016,0.5,0.3831,0.214,0.5,1.0,0.3,0.5,0.4566,1.0,0.2695,0.3097,0.5043,0
CLT-1008,TRN-2017,0.5,0.3721,0.6883,1.0,1.0,0.3,0.5,0.2,1.0,0.2967,0.4647,0.5805,0
CLT-1008,TRN-2018,0.5,0.255,0.189,0.5,0.61,0.7,0.5,1.0,1.0,0.2685,0.2756,0.5049,0
CLT-1008,TRN-2019,0.5,0.3498,0.9154,1.0,0.61,0.7,0.5,0.5,0.7,0.3768,0.29,0.5554,1
CLT-1008,TRN-2020,0.5,0.2649,0.2204,1.0,0.87,0.3,0.5,0.4113,1.0,0.4038,0.3289,0.5178,0
CLT-1008,TRN-2021,0.5,0.386,0.311,1.0,0.74,0.3,0.5,0.2,0.6,0.229,0.3213,0.4616,0
CLT-1008,TRN-2022,0.5,0.2421,0.8902,1.0,0.87,0.7,0.5,0.4113,0.1,0.3094,0.2779,0.4993,0
CLT-1008,TRN-2023,0.5,0.4067,0.7527,0.5,0.74,0.3,0.5,0.5,0.8,0.3826,0.3067,0.5204,0
CLT-1008,TRN-2024,0.5,0.3153,0.2278,0.5,0.61,0.3,0.5,0.683,1.0,0.3044,0.203,0.4628,0
